ProjID,Market,DeliveryDate,YearBuilt,Submarket,AgeAtDelivery,SeasonOfDelivery,SubmarketCompetition,RentAtDelivery,AvgOcc_3Mo_PostDelivery,Cluster,tSNE1,tSNE2
60618,"Austin-Round Rock, TX",2015-11-01,2016,Southwest Austin,-1,Fall,1,1449.0,0.06233333333333333,3.0,-1.0378982,-22.21467
62303,"Austin-Round Rock, TX",2009-03-01,2008,Southeast Austin,1,Spring,1,846.0,0.7903333333333333,2.0,-3.8664985,16.754467
64183,"Austin-Round Rock, TX",2017-04-01,2017,Riverside,0,Spring,1,1436.0,0.10833333333333334,2.0,-1.4426259,22.588821
64775,"Austin-Round Rock, TX",2018-02-01,2018,Cedar Park,0,Winter,2,1534.0,0.15466666666666665,0.0,-21.46737,-2.3472164
64806,"Austin-Round Rock, TX",2017-10-01,2018,East Austin,-1,Fall,2,2091.0,0.08066666666666666,3.0,0.89975184,-21.345629
65404,"Austin-Round Rock, TX",2009-11-01,2009,Round Rock/Georgetown,0,Fall,2,1084.0,0.36066666666666664,3.0,-3.2462204,-25.31641
65626,"Austin-Round Rock, TX",2017-09-01,2018,Riverside,-1,Fall,1,1769.0,0.16466666666666666,3.0,-0.40535188,-21.230122
65660,"Austin-Round Rock, TX",2017-04-01,2018,Far West Austin,-1,Spring,0,1481.0,0.15033333333333335,2.0,0.5718185,25.600958
65698,"Austin-Round Rock, TX",2015-10-01,2016,Near North Austin,-1,Fall,0,1756.0,0.12166666666666666,3.0,-1.2033706,-20.892859
65886,"Austin-Round Rock, TX",2016-04-01,2016,Downtown/University,0,Spring,3,3158.0,0.0,2.0,0.17696701,12.531929
66015,"Austin-Round Rock, TX",2014-07-01,2014,San Marcos,0,Summer,0,1007.0,0.8083333333333332,1.0,16.538544,1.5126197
66089,"Austin-Round Rock, TX",2018-01-01,2018,East Austin,0,Winter,2,2067.0,0.085,0.0,-22.05986,-0.42355645
66090,"Austin-Round Rock, TX",2016-07-01,2016,Southeast Austin,0,Summer,1,1456.0,0.21633333333333335,1.0,17.429745,-2.9894226
66159,"Austin-Round Rock, TX",2017-04-01,2017,Northwest Austin,0,Spring,3,1491.0,0.3056666666666667,2.0,0.001740016,19.911053
66166,"Austin-Round Rock, TX",2016-10-01,2017,Round Rock/Georgetown,-1,Fall,1,1109.0,0.6893333333333334,3.0,-2.4077654,-26.684687
66282,"Austin-Round Rock, TX",2016-09-01,2017,Cedar Park,-1,Fall,4,1436.0,0.10466666666666667,3.0,1.6256989,-24.305775
66304,"Austin-Round Rock, TX",2016-04-01,2016,Cedar Park,0,Spring,4,1086.0,0.26766666666666666,2.0,1.7784941,18.785826
69751,"Austin-Round Rock, TX",2016-02-01,2016,San Marcos,0,Winter,2,1235.0,0.7953333333333333,0.0,-16.828337,-2.6474597
70346,"Austin-Round Rock, TX",2020-03-01,2021,Round Rock/Georgetown,-1,Spring,2,1391.0,0.15033333333333332,2.0,1.805035,24.6621
70636,"Austin-Round Rock, TX",2020-04-01,2021,East Austin,-1,Spring,3,1347.0,0.052333333333333336,2.0,2.3536098,24.111225
70684,"Austin-Round Rock, TX",2018-03-01,2018,Far South Austin,0,Spring,3,1158.0,0.3423333333333334,2.0,0.69776845,18.904736
70690,"Austin-Round Rock, TX",2017-07-01,2017,Southeast Austin,0,Summer,1,1312.0,0.2973333333333334,1.0,16.99581,-2.393262
70694,"Austin-Round Rock, TX",2018-08-01,2019,East Austin,-1,Summer,2,1365.0,0.151,1.0,23.402369,0.28463218
71006,"Austin-Round Rock, TX",2016-11-01,2017,East Austin,-1,Fall,1,1669.0,0.10099999999999999,3.0,-0.54615486,-21.631857
71149,"Austin-Round Rock, TX",2018-02-01,2018,East Austin,0,Winter,3,1507.0,0.5133333333333333,0.0,-19.413626,-3.792398
71391,"Austin-Round Rock, TX",2019-02-01,2019,Near North Austin,0,Winter,1,1563.0,0.14533333333333334,0.0,-21.099281,-1.5778563
71727,"Austin-Round Rock, TX",2016-08-01,2016,San Marcos,0,Summer,3,1048.0,0.979,1.0,15.275737,1.0786285
71730,"Austin-Round Rock, TX",2016-07-01,2017,San Marcos,-1,Summer,3,1042.0,0.37633333333333335,1.0,22.471085,-1.01999
71736,"Austin-Round Rock, TX",2017-07-01,2017,Cedar Park,0,Summer,1,1302.0,0.26433333333333336,1.0,16.96862,-2.6463406
71738,"Austin-Round Rock, TX",2020-07-01,2020,Cedar Park,0,Summer,6,1355.0,0.5489999999999999,1.0,21.835407,-5.322661
71761,"Austin-Round Rock, TX",2016-09-01,2017,San Marcos,-1,Fall,2,1128.0,0.4103333333333334,3.0,-1.3126601,-25.415493
